model,run_name,max_vocab_size,max_seq_len,embed_dim,num_filters,filter_sizes,dropout,batch_size,learning_rate,num_epochs,freeze_embeddings,train_accuracy,train_f1,val_accuracy,val_f1,test_accuracy,test_f1
TextCNN,bs32_do0.5_lr0.0005_nf50_fs3-4-5,5000,64,50,50,"3,4,5",0.5,32,0.0005,5,False,0.8604331385355792,0.8083811625239244,0.8520345252774353,0.7950408074900667,0.8478800115373522,0.790486591510776
TextCNN,bs32_do0.5_lr0.0005_nf50_fs3-4-5,5000,64,50,50,"3,4,5",0.5,32,0.0005,5,False,0.9036978834159997,0.8701196607977778,0.8713148750140118,0.8246226793124455,0.869800980674935,0.8232135084071018
TextCNN,bs32_do0.5_lr0.0005_nf50_fs4-5-6,5000,64,50,50,"4,5,6",0.5,32,0.0005,5,False,0.9074956211429226,0.8761490168573509,0.8692971639950678,0.8240912741073864,0.8680703778482838,0.8230886074262512
TextCNN,bs32_do0.5_lr0.0005_nf100_fs3-4-5,5000,64,50,100,"3,4,5",0.5,32,0.0005,5,False,0.9122919019790797,0.8818357673812122,0.8707543997309719,0.8230099859997685,0.8702047880011538,0.8228166187797626
TextCNN,bs32_do0.5_lr0.0005_nf100_fs4-5-6,5000,64,50,100,"4,5,6",0.5,32,0.0005,5,False,0.9172682479660823,0.889337660470421,0.8720995404102679,0.8257114832033352,0.868704932218056,0.8224655842096581
TextCNN,bs32_do0.5_lr0.001_nf50_fs3-4-5,5000,64,50,50,"3,4,5",0.5,32,0.001,5,False,0.9110150763639935,0.8805047907984456,0.8689608788252438,0.821678400889045,0.867320449956735,0.820793073907803
TextCNN,bs32_do0.5_lr0.001_nf50_fs4-5-6,5000,64,50,50,"4,5,6",0.5,32,0.001,5,False,0.9137815318633469,0.8835447788739117,0.8685124985988117,0.8197859415621908,0.8695702336313816,0.822484131662825
TextCNN,bs32_do0.5_lr0.001_nf100_fs3-4-5,5000,64,50,100,"3,4,5",0.5,32,0.001,5,False,0.9077739036487747,0.8779187897473163,0.8709785898441879,0.826678913305969,0.8707239688491492,0.8274282408967565
TextCNN,bs32_do0.5_lr0.001_nf100_fs4-5-6,5000,64,50,100,"4,5,6",0.5,32,0.001,5,False,0.907970338358788,0.8769554961028548,0.8695213541082838,0.823459494566421,0.8689933660224979,0.8235631404156232
TextCNN,bs32_do0.65_lr0.0005_nf50_fs3-4-5,5000,64,50,50,"3,4,5",0.65,32,0.0005,5,False,0.8935651262911489,0.854212896029145,0.8673915480327318,0.8170666576097343,0.8672627631958465,0.816906546045502
TextCNN,bs32_do0.65_lr0.0005_nf50_fs4-5-6,5000,64,50,50,"4,5,6",0.65,32,0.0005,5,False,0.8859205421597997,0.8464342045304486,0.8663826925232597,0.8182584882856573,0.8657052206518604,0.8188297137943835
TextCNN,bs32_do0.65_lr0.0005_nf100_fs3-4-5,5000,64,50,100,"3,4,5",0.65,32,0.0005,5,False,0.9029121445759466,0.870437494733964,0.8695213541082838,0.8237655215614123,0.8685318719353908,0.8241667321808159
TextCNN,bs32_do0.65_lr0.0005_nf100_fs4-5-6,5000,64,50,100,"4,5,6",0.65,32,0.0005,5,False,0.9057604478711389,0.8724531968899414,0.8695213541082838,0.8222021949238089,0.8704355350447073,0.82300682973865
TextCNN,bs32_do0.65_lr0.001_nf50_fs3-4-5,5000,64,50,50,"3,4,5",0.65,32,0.001,5,False,0.9030594706084565,0.8692440738104205,0.8703060195045399,0.8227124853751272,0.8671473896740698,0.8197476924735585
TextCNN,bs32_do0.65_lr0.001_nf50_fs4-5-6,5000,64,50,50,"4,5,6",0.65,32,0.001,5,False,0.903746992093503,0.8694388532774403,0.8689608788252438,0.8208123060608549,0.8696856071531583,0.8215769007577728
